,Distance from wall,Density,VPlasma
0,0.2631098230002424,6.518258053382364e+16,99.877133788427
1,2.03540976012468,1.0512383675144422e+17,59.607778480760764
2,4.02427162892344,8.28859779435063e+16,68.97822165911508
3,6.200350183925969,1.0877011740243085e+17,59.23649821522255
4,8.536952197369143,1.3303846534667915e+17,38.68946111562717
5,11.006169705729722,1.4280130198882771e+17,66.14027764152813
6,13.58552852912846,2.9456795450191424e+17,18.373914082657233
7,16.254766557314312,2.1193890467131648e+17,50.91260648249614
8,18.99165485586106,2.691318532005728e+17,26.460544555931268
9,21.779599552434718,3.251120802972122e+17,41.84656894791204
10,24.603813447596057,3.544930598654024e+17,28.806114625397488
11,27.44704185968892,5.381075336216628e+17,35.5085145935319
12,30.297778052944416,4.2734418371753024e+17,41.8925700190869
13,33.145091443847775,8.195442293390934e+17,36.77862783291889
14,35.97697708012477,5.6102991729612736e+17,68.95471811666906
15,38.78521703090812,1.2060259793157824e+18,48.17701262424487
16,41.56268955645371,8.95121526669312e+17,78.68643810272208
17,44.300804132825405,1.6511742246122153e+18,52.73357372490692
18,46.99440578371847,1.2718614120393452e+18,77.81096872063003
19,49.63911880949022,2.168783013651977e+18,51.03947251807608
20,52.228929556398256,1.639911792846301e+18,73.48692142333562
21,54.76085070541066,2.6078539328308367e+18,50.1363570413253
22,57.232366289950754,1.9647981221779113e+18,68.01779687226788
23,59.63918848260677,2.9304179865693553e+18,49.019435177433095
24,61.979609461055375,2.1991886144722685e+18,65.64005414739762
25,64.25209067031055,3.165459583486172e+18,47.44850837636869
26,66.45321030657571,2.319862011298115e+18,64.46610588657109
27,68.58165665696399,3.229616696692915e+18,48.589664030529306
28,70.63598787873222,2.349742857047915e+18,65.12699820441418
29,72.61278435699647,3.372791519393292e+18,47.49058170699874
30,74.51024951089393,2.451670344547045e+18,62.87614907568516
31,76.3261567692707,3.354505244459446e+18,48.53615119728509
32,78.05622556633227,2.577449407197667e+18,59.061048709303456
33,79.69729352225414,3.504965873128755e+18,46.588770509467864
34,81.24546479207892,2.678343101011149e+18,55.92473963620982
35,82.69474014102386,3.544752580083906e+18,45.72097819718416
36,84.03970814231003,2.644569956398323e+18,56.83116846449526
37,85.27391366361296,3.6072183163897754e+18,44.39791434580211
38,86.38879123169434,2.545333571676656e+18,59.53535275217507
39,87.37579244438929,3.6059231263249587e+18,44.25958061882059
40,88.22500503683727,2.6454706452981637e+18,56.224466063471546
41,88.92446460335509,3.585633118823202e+18,44.84007358681443
42,89.46159079408702,2.654466095504261e+18,54.98751509506833
43,89.82210617143022,3.408162720660745e+18,46.849759566666854
