x,y,z
441.237,187.254,46.546
441.237,187.254,51.73783673469388
441.237,187.254,56.92967346938776
441.237,187.254,62.12151020408163
441.237,187.254,67.31334693877551
441.237,187.254,72.50518367346939
441.237,187.254,77.69702040816327
441.237,187.254,82.88885714285715
441.237,187.254,88.08069387755103
441.237,187.254,93.27253061
441.237,187.254,98.46436734693879
441.237,187.254,103.65620408163267
441.237,187.254,108.84804081632655
441.237,187.254,114.03987755102042
441.237,187.254,119.2317142857143
441.237,187.254,124.42355102040818
441.237,187.254,129.61538775510206
441.237,187.254,134.80722448979594
441.237,187.254,139.99906122448982
441.237,187.254,145.1908979591837
441.237,187.254,150.38273469387758
441.237,187.254,155.57457142857146
441.237,187.254,160.76640816326534
441.237,187.254,165.95824489795922
441.237,187.254,171.15008163265307
441.237,187.254,176.34191836734695
441.237,187.254,181.53375510204083
441.237,187.254,186.7255918367347
441.237,187.254,191.9174285714286
441.237,187.254,197.10926530612247
441.237,187.254,202.30110204081635
441.237,187.254,207.49293877551023
441.237,187.254,212.6847755102041
441.237,187.254,217.87661224489798
441.237,187.254,223.06844897959186
441.237,187.254,228.26028571428574
441.237,187.254,233.45212244897962
441.237,187.254,238.6439591836735
441.237,187.254,243.83579591836738
441.237,187.254,249.02763265306126
441.237,187.254,254.21946938775514
441.237,187.254,259.41130612244905
441.237,187.254,264.6031428571429
441.237,187.254,269.7949795918368
441.237,187.254,274.9868163265307
441.237,187.254,280.17865306122457
441.237,187.254,285.37048979591844
441.237,187.254,290.5623265306123
441.237,187.254,295.75416326530615
441.237,187.254,300.946
441.237,194.66232653061223,46.546
441.237,194.66232653061223,51.73783673469388
441.237,194.66232653061223,56.92967346938776
441.237,194.66232653061223,62.12151020408163
441.237,194.66232653061223,67.31334693877551
441.237,194.66232653061223,72.50518367346939
441.237,194.66232653061223,77.69702040816327
441.237,194.66232653061223,82.88885714285715
441.237,194.66232653061223,88.08069387755103
441.237,194.66232653061223,93.27253061
441.237,194.66232653061223,98.46436734693879
441.237,194.66232653061223,103.65620408163267
441.237,194.66232653061223,108.84804081632655
441.237,194.66232653061223,114.03987755102042
441.237,194.66232653061223,119.2317142857143
441.237,194.66232653061223,124.42355102040818
441.237,194.66232653061223,129.61538775510206
441.237,194.66232653061223,134.80722448979594
441.237,194.66232653061223,139.99906122448982
441.237,194.66232653061223,145.1908979591837
441.237,194.66232653061223,150.38273469387758
441.237,194.66232653061223,155.57457142857146
441.237,194.66232653061223,160.76640816326534
441.237,194.66232653061223,165.95824489795922
441.237,194.66232653061223,171.15008163265307
441.237,194.66232653061223,176.34191836734695
441.237,194.66232653061223,181.53375510204083
441.237,194.66232653061223,186.7255918367347
441.237,194.66232653061223,191.9174285714286
441.237,194.66232653061223,197.10926530612247
441.237,194.66232653061223,202.30110204081635
441.237,194.66232653061223,207.49293877551023
441.237,194.66232653061223,212.6847755102041
441.237,194.66232653061223,217.87661224489798
441.237,194.66232653061223,223.06844897959186
441.237,194.66232653061223,228.26028571428574
441.237,194.66232653061223,233.45212244897962
441.237,194.66232653061223,238.6439591836735
441.237,194.66232653061223,243.83579591836738
441.237,194.66232653061223,249.02763265306126
441.237,194.66232653061223,254.21946938775514
441.237,194.66232653061223,259.41130612244905
441.237,194.66232653061223,264.6031428571429
441.237,194.66232653061223,269.7949795918368
441.237,194.66232653061223,274.9868163265307
441.237,194.66232653061223,280.17865306122457
441.237,194.66232653061223,285.37048979591844
441.237,194.66232653061223,290.5623265306123
441.237,194.66232653061223,295.75416326530615
441.237,194.66232653061223,300.946
441.237,202.07065306122448,46.546
441.237,202.07065306122448,51.73783673469388
441.237,202.07065306122448,56.92967346938776
441.237,202.07065306122448,62.12151020408163
441.237,202.07065306122448,67.31334693877551
441.237,202.07065306122448,72.50518367346939
441.237,202.07065306122448,77.69702040816327
441.237,202.07065306122448,82.88885714285715
441.237,202.07065306122448,88.08069387755103
441.237,202.07065306122448,93.27253061
441.237,202.07065306122448,98.46436734693879
441.237,202.07065306122448,103.65620408163267
441.237,202.07065306122448,108.84804081632655
441.237,202.07065306122448,114.03987755102042
441.237,202.07065306122448,119.2317142857143
441.237,202.07065306122448,124.42355102040818
441.237,202.07065306122448,129.61538775510206
441.237,202.07065306122448,134.80722448979594
441.237,202.07065306122448,139.99906122448982
441.237,202.07065306122448,145.1908979591837
441.237,202.07065306122448,150.38273469387758
441.237,202.07065306122448,155.57457142857146
441.237,202.07065306122448,160.76640816326534
441.237,202.07065306122448,165.95824489795922
441.237,202.07065306122448,171.15008163265307
441.237,202.07065306122448,176.34191836734695
441.237,202.07065306122448,181.53375510204083
441.237,202.07065306122448,186.7255918367347
441.237,202.07065306122448,191.9174285714286
441.237,202.07065306122448,197.10926530612247
441.237,202.07065306122448,202.30110204081635
441.237,202.07065306122448,207.49293877551023
441.237,202.07065306122448,212.6847755102041
441.237,202.07065306122448,217.87661224489798
441.237,202.07065306122448,223.06844897959186
441.237,202.07065306122448,228.26028571428574
441.237,202.07065306122448,233.45212244897962
441.237,202.07065306122448,238.6439591836735
441.237,202.07065306122448,243.83579591836738
441.237,202.07065306122448,249.02763265306126
441.237,202.07065306122448,254.21946938775514
441.237,202.07065306122448,259.41130612244905
441.237,202.07065306122448,264.6031428571429
441.237,202.07065306122448,269.7949795918368
441.237,202.07065306122448,274.9868163265307
441.237,202.07065306122448,280.17865306122457
441.237,202.07065306122448,285.37048979591844
441.237,202.07065306122448,290.5623265306123
441.237,202.07065306122448,295.75416326530615
441.237,202.07065306122448,300.946
441.237,209.47897959183672,46.546
441.237,209.47897959183672,51.73783673469388
441.237,209.47897959183672,56.92967346938776
441.237,209.47897959183672,62.12151020408163
441.237,209.47897959183672,67.31334693877551
441.237,209.47897959183672,72.50518367346939
441.237,209.47897959183672,77.69702040816327
441.237,209.47897959183672,82.88885714285715
441.237,209.47897959183672,88.08069387755103
441.237,209.47897959183672,93.27253061
441.237,209.47897959183672,98.46436734693879
441.237,209.47897959183672,103.65620408163267
441.237,209.47897959183672,108.84804081632655
441.237,209.47897959183672,114.03987755102042
441.237,209.47897959183672,119.2317142857143
441.237,209.47897959183672,124.42355102040818
441.237,209.47897959183672,129.61538775510206
441.237,209.47897959183672,134.80722448979594
441.237,209.47897959183672,139.99906122448982
441.237,209.47897959183672,145.1908979591837
441.237,209.47897959183672,150.38273469387758
441.237,209.47897959183672,155.57457142857146
441.237,209.47897959183672,160.76640816326534
441.237,209.47897959183672,165.95824489795922
441.237,209.47897959183672,171.15008163265307
441.237,209.47897959183672,176.34191836734695
441.237,209.47897959183672,181.53375510204083
441.237,209.47897959183672,186.7255918367347
441.237,209.47897959183672,191.9174285714286
441.237,209.47897959183672,197.10926530612247
441.237,209.47897959183672,202.30110204081635
441.237,209.47897959183672,207.49293877551023
441.237,209.47897959183672,212.6847755102041
441.237,209.47897959183672,217.87661224489798
441.237,209.47897959183672,223.06844897959186
441.237,209.47897959183672,228.26028571428574
441.237,209.47897959183672,233.45212244897962
441.237,209.47897959183672,238.6439591836735
441.237,209.47897959183672,243.83579591836738
441.237,209.47897959183672,249.02763265306126
441.237,209.47897959183672,254.21946938775514
441.237,209.47897959183672,259.41130612244905
441.237,209.47897959183672,264.6031428571429
441.237,209.47897959183672,269.7949795918368
441.237,209.47897959183672,274.9868163265307
441.237,209.47897959183672,280.17865306122457
441.237,209.47897959183672,285.37048979591844
441.237,209.47897959183672,290.5623265306123
441.237,209.47897959183672,295.75416326530615
441.237,209.47897959183672,300.946
441.237,216.88730612244896,46.546
